Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","SM0402",4.761811,-4.062008,90.000000,top
"C2","0.1uF","SM0402",4.861811,-3.812008,180.000000,top
"C3","10uF","SM0402_POL",4.761811,-4.112008,90.000000,top
"C4","10uF","SM0402_POL",4.811811,-3.812008,180.000000,top
"C5","0.1uF","SM0402",4.687008,-3.984252,180.000000,top
"C6","1uF","SM0402_POL",4.940945,-3.877953,0.000000,top
"C7","0.1uF","SM0402",4.686811,-3.912008,-90.000000,top
"C8","0.1uF","SM0402",5.336811,-3.987008,0.000000,top
"C9","0.1uF","SM0402",6.136811,-3.712008,180.000000,top
"C10","0.1uF","SM0402",6.286811,-3.712008,180.000000,top
"C11","10uF","SM0603",5.911811,-3.737008,180.000000,top
"C12","10uF","SM0603",5.836811,-3.862008,180.000000,top
"C13","10uF","SM0603",5.761811,-3.862008,180.000000,top
"C14","10uF","SM0603",6.411811,-4.012008,90.000000,top
"C15","10uF","SM0603",6.286811,-3.937008,90.000000,top
"C16","10uF","SM0603",6.286811,-3.862008,90.000000,top
"FID1","FIDUCIAL_0.5mm_MASK1mm","FIDUCIAL_0.5mm_Mask1mm",4.724409,-3.385827,0.000000,top
"FID2","FIDUCIAL_0.5mm_MASK1mm","FIDUCIAL_0.5mm_Mask1mm",6.299213,-3.385827,0.000000,top
"FID3","FIDUCIAL_0.5mm_MASK1mm","FIDUCIAL_0.5mm_Mask1mm",6.299213,-4.488189,0.000000,top
"FID4","FIDUCIAL_0.5mm_MASK1mm","FIDUCIAL_0.5mm_Mask1mm",4.724409,-4.488189,0.000000,top
"FW1","FEATHERWING_nRF52","FEATHERWING",5.511811,-3.937008,0.000000,top
"J1","HEADER_01X02_JST_ZH_SMD_VERTICAL","JST_ZH_B2B_ZR_SM4_TF_1x02-1MP_P1.50mm_Vertical",5.196850,-3.346457,0.000000,top
"J2","HEADER_01X03_JST_ZH_SMD_VERTICAL","JST_ZH_B3B_ZR_SM4_TF_1x03-1MP_P1.50mm_Vertical",5.118110,-4.527559,180.000000,top
"J3","HEADER_01X04_JST_ZH_SMD_VERTICAL","JST_ZH_B4B_ZR_SM4_TF_1x04-1MP_P1.50mm_Vertical",5.511811,-4.527559,180.000000,top
"J4","HEADER_01X03_JST_ZH_SMD_VERTICAL","JST_ZH_B3B_ZR_SM4_TF_1x03-1MP_P1.50mm_Vertical",5.984252,-3.346457,0.000000,top
"J5","HEADER_01X03_JST_ZH_SMD_VERTICAL","JST_ZH_B3B_ZR_SM4_TF_1x03-1MP_P1.50mm_Vertical",5.590551,-3.346457,0.000000,top
"J6","HEADER_01X03_JST_ZH_SMD_VERTICAL","JST_ZH_B3B_ZR_SM4_TF_1x03-1MP_P1.50mm_Vertical",5.905512,-4.527559,180.000000,top
"L1","2.2uH","INDUCTOR_VLS_HBX",5.961811,-4.012008,0.000000,top
"L2","2.2uH","INDUCTOR_VLS_HBX",6.136811,-4.062008,-90.000000,top
"P1","POGO_01X04_0.1IN_1_SMD","POGO_01x04_0.1in_SMD",4.911811,-4.337008,0.000000,top
"P2","POGO_01X04_0.1IN_1_SMD","POGO_01x04_0.1in_SMD",5.311811,-4.337008,0.000000,top
"P3","POGO_01X04_0.1IN_1_SMD","POGO_01x04_0.1in_SMD",5.711811,-4.337008,0.000000,top
"P4","POGO_01X04_0.1IN_1_SMD","POGO_01x04_0.1in_SMD",6.111811,-4.337008,0.000000,top
"P5","POGO_01X04_0.1IN_1_SMD","POGO_01x04_0.1in_SMD",6.111811,-3.537008,180.000000,top
"P6","POGO_01X04_0.1IN_1_SMD","POGO_01x04_0.1in_SMD",5.711811,-3.537008,180.000000,top
"P7","POGO_01X04_0.1IN_1_SMD","POGO_01x04_0.1in_SMD",5.311811,-3.537008,180.000000,top
"R1","5.1k","SM0402",4.686811,-3.812008,0.000000,top
"R2","5.1k","SM0402",6.011811,-3.737008,180.000000,top
"R3","5.1k","SM0402",6.411811,-4.112008,90.000000,top
"U1","DRV8311H","WQFN-24-1EP_3x3mm_P0.4mm_EP1.9x1.9mm_ThermalVias",4.811811,-3.937008,0.000000,top
"U2","AS5047P","TSSOP-14_4.4x5mm_P0.65mm",5.511811,-3.937008,180.000000,top
"U3","LT_SN74LVC2T45DCUT","VSSOP-8_2.4x2.1mm_P0.5mm",6.211811,-3.712008,-90.000000,top
"U4","BOOST_5V_RP402N501F","SOT-23-5",5.961811,-3.862008,180.000000,top
"U5","BOOST_5V_RP402N501F","SOT-23-5",6.286811,-4.062008,90.000000,top
